command= python3 -u /u/zjian1/ASTZ/py_code/generate_stencil_list.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 
Available threads: 16
Set threads to: 8
data_min:-1672.849365234375, data_max:14206.283203125
stencil=213, total_loss=2.1978292756506966e-05, total_rmsqb=0.07245154732238644
stencil=231, total_loss=2.7776722245934334e-05, total_rmsqb=0.08145001826443131
[1, 2, 2]
stencil=211, total_loss=7.164378530433169e-06, total_rmsqb=0.043542799183963976
stencil=213, total_loss=3.9784126784070395e-06, total_rmsqb=0.03244755653592145
stencil=231, total_loss=5.362739902921021e-05, total_rmsqb=0.11912981013444686
[1, 1, 2]
stencil=111, total_loss=1.6299824762557235e-05, total_rmsqb=0.06913451891820718
[1, 1, 1]
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_000.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_000.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1749.0985107421875, data_max:14723.8212890625
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.902
Zstd CR= 40.955
[31mTotal CR= 1306.556 [0m
qb_min= -4, qb_max= 13
max_err= 823.6181640625
max_rel_err= 0.050
[31mpsnr= 39.389 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_001.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_001.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1734.5491943359375, data_max:14580.9970703125
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.889
Zstd CR= 34.132
[31mTotal CR= 1088.428 [0m
qb_min= -3, qb_max= 12
max_err= 815.7540283203125
max_rel_err= 0.050
[31mpsnr= 39.235 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_002.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_002.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1721.9188232421875, data_max:14520.7705078125
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.902
Zstd CR= 41.941
[31mTotal CR= 1337.997 [0m
qb_min= -4, qb_max= 13
max_err= 812.1334228515625
max_rel_err= 0.050
[31mpsnr= 39.042 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_010.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_010.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1578.50439453125, data_max:7738.2421875
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.925
Zstd CR= 49.898
[31mTotal CR= 1592.989 [0m
qb_min= -2, qb_max= 10
max_err= 465.8333740234375
max_rel_err= 0.050
[31mpsnr= 39.771 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_011.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_011.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1572.1063232421875, data_max:9327.484375
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.937
Zstd CR= 61.029
[31mTotal CR= 1949.063 [0m
qb_min= -2, qb_max= 8
max_err= 544.9674072265625
max_rel_err= 0.050
[31mpsnr= 40.181 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_012.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_012.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1596.585693359375, data_max:13839.8046875
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.965
Zstd CR= 251.196
[31mTotal CR= 8029.416 [0m
qb_min= -1, qb_max= 7
max_err= 771.71240234375
max_rel_err= 0.050
[31mpsnr= 41.818 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_020.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_020.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1650.6396484375, data_max:14129.0322265625
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.955
Zstd CR= 133.655
[31mTotal CR= 4270.933 [0m
qb_min= -3, qb_max= 11
max_err= 788.907470703125
max_rel_err= 0.050
[31mpsnr= 40.912 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_021.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_021.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1643.451904296875, data_max:14422.6708984375
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.956
Zstd CR= 137.338
[31mTotal CR= 4388.715 [0m
qb_min= -2, qb_max= 8
max_err= 803.2708740234375
max_rel_err= 0.050
[31mpsnr= 41.144 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_022.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_022.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1584.2459716796875, data_max:12948.6181640625
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.951
Zstd CR= 113.978
[31mTotal CR= 3641.707 [0m
qb_min= -2, qb_max= 9
max_err= 726.63623046875
max_rel_err= 0.050
[31mpsnr= 40.521 [0m
python3 -u /u/zjian1/ASTZ/py_code/compress.py -f32 -i '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_100.bin' -z '/work/hdd/bdgi/zjian1/EXAFEL/blocks/SDRBENCH-EXAFEL-data-130x1480x1552.f32_100.bin_5.0e-02.astz' -c '/u/zjian1/ASTZ/stencil_list/5.0e-02/SDRBENCH-EXAFEL-data-130x1480x1552.f32_111.bin.txt' -E REL 5.0e-02 -3 44 494 518 -M FHDE 9 -a 
Available threads: 16
Set threads to: 8
data_min:-1695.33984375, data_max:14731.93359375
torch.Size([1, 1, 6, 2, 9])
torch.Size([1, 1, 11, 2, 9])
torch.Size([1, 1, 11, 4, 9])
torch.Size([1, 1, 11, 4, 17])
torch.Size([1, 1, 11, 8, 17])
torch.Size([1, 1, 11, 16, 17])
torch.Size([1, 1, 11, 31, 17])
torch.Size([1, 1, 11, 62, 17])
torch.Size([1, 1, 11, 62, 33])
torch.Size([1, 1, 11, 62, 65])
torch.Size([1, 1, 11, 62, 130])
torch.Size([1, 1, 22, 62, 130])
torch.Size([1, 1, 22, 124, 130])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 259])
torch.Size([1, 1, 44, 247, 518])
torch.Size([1, 1, 44, 494, 518])
Huffman CR= 31.894
Zstd CR= 36.752
